,db type,# run type,# payload,Average TPUT (kTPS/s),Average Latency (us),50 Tail Latency (us),99 Tail Latency (us),99.9 Tail Latency (us),99.99 Tail Latency (us)
0,redis,R95I5,8,18.121,55.1846,54.361,69.076,148.504,164.747
1,redis,R90U10,2048,13.2286,75.594,66.466,154.278,198.673,226.324
2,redis,R50U50,2048,10.2261,97.7886,106.821,188.921,206.567,244.02
3,redis,R100,1024,17.4136,57.4263,56.355,69.852,105.498,169.094
4,redis,R90U10,4096,11.9552,83.6454,68.567,206.134,247.841,274.279
5,redis,R50U50,8,17.274,57.8905,57.305,69.829,110.427,164.13
6,redis,R50M50,4096,6.30729,158.547,150.189,314.058,361.17,428.446
7,redis,R100,8,17.9429,55.7325,54.962,69.005,128.526,161.826
8,redis,R95I5,512,16.583,60.3027,57.255,130.198,146.336,175.309
9,redis,R90U10,8,17.9367,55.7515,54.651,68.112,124.37,168.095
10,redis,R90U10,64,17.2265,58.0501,57.451,72.357,148.037,175.849
11,redis,R95I5,1024,16.2465,61.5516,57.636,133.253,141.541,181.217
12,redis,R90U10,1024,16.0426,62.3342,57.439,131.184,153.334,196.053
13,redis,R50U50,512,15.3543,65.1283,67.228,129.293,140.168,180.777
14,redis,R95I5,4096,12.692,78.7895,68.232,193.224,256.688,273.718
15,redis,R90U10,512,16.4921,60.6353,56.712,131.946,141.129,171.466
16,redis,R50U50,64,17.2511,57.9672,57.853,71.007,121.263,166.884
17,redis,R50M50,8,11.794,84.7887,72.01,128.126,156.938,233.845
18,redis,R50M50,2048,7.77101,128.683,114.157,241.293,300.774,353.637
19,redis,R100,4096,13.3196,75.0773,72.585,99.495,160.001,187.56
20,redis,R50M50,1024,9.76522,102.404,129.25,163.639,233.821,284.718
21,redis,R95I5,2048,13.7992,72.468,65.92,143.517,197.701,221.948
22,redis,R100,64,17.2811,57.8668,56.796,71.329,123.178,161.73
23,redis,R50M50,512,10.5577,94.7176,121.548,155.374,213.387,260.25
24,redis,R100,512,17.6874,56.5373,55.495,68.413,125.313,160.018
25,redis,R100,2048,15.2751,65.4659,65.064,82.547,152.253,177.09
26,redis,R50U50,1024,13.3001,75.1872,82.483,132.675,163.347,206.162
27,redis,R95I5,64,17.7125,56.4572,55.012,73.153,120.509,168.199
28,redis,R50M50,64,11.5527,86.5599,79.454,131.995,174.316,240.69
29,redis,R50U50,4096,8.12059,123.144,131.813,243.33,256.258,289.577
